uuid,group,qid,correct,time
592eca7945e6163b450c9187,B,Q2,false,15226
592eca7945e6163b450c9187,B,Q1,true,17187
592eca7945e6163b450c9187,B,Q3,true,20721
592eca7945e6163b450c9187,B,Q6,false,13846
592eca7945e6163b450c9187,B,Q5,false,16232
592eca7945e6163b450c9187,B,Q4,true,18489
592ecae345e6163b450c9188,B,Q2,true,15007
592ecae345e6163b450c9188,B,Q1,true,56429
592ecae345e6163b450c9188,B,Q3,true,15625
592ecae345e6163b450c9188,B,Q6,true,10293
592ecae345e6163b450c9188,B,Q4,true,15736
592ecae345e6163b450c9188,B,Q5,true,13059
592fbc0845e6163b450c918e,A,Q3,true,41318
592fbc0845e6163b450c918e,A,Q1,true,18793
592fbc0845e6163b450c918e,A,Q2,true,13046
592fbc0845e6163b450c918e,A,Q5,true,26938
592fbc0845e6163b450c918e,A,Q4,true,19773
592fbc0845e6163b450c918e,A,Q6,true,18897
592fe8c145e6163b450c918f,A,Q2,true,23786
592fe8c145e6163b450c918f,A,Q3,true,51654
592fe8c145e6163b450c918f,A,Q1,true,22921
592fe8c145e6163b450c918f,A,Q6,true,13202
592fe8c145e6163b450c918f,A,Q5,true,24464
592fe8c145e6163b450c918f,A,Q4,false,22861
592fec3c45e6163b450c9191,A,Q1,true,12680
592fec3c45e6163b450c9191,A,Q2,true,12595
592fec3c45e6163b450c9191,A,Q3,true,12815
592fec3c45e6163b450c9191,A,Q5,true,56457
592fec3c45e6163b450c9191,A,Q4,true,13713
592fec3c45e6163b450c9191,A,Q6,true,11144
592ff05c45e6163b450c9193,A,Q3,true,17132
592ff05c45e6163b450c9193,A,Q2,false,15977
592ff05c45e6163b450c9193,A,Q1,false,12412
592ff05c45e6163b450c9193,A,Q5,true,20028
592ff05c45e6163b450c9193,A,Q4,true,13265
592ff05c45e6163b450c9193,A,Q6,true,14230
592ff28045e6163b450c9194,B,Q3,true,20308
592ff28045e6163b450c9194,B,Q2,true,50609
592ff28045e6163b450c9194,B,Q1,false,15417
592ff28045e6163b450c9194,B,Q6,true,15011
592ff28045e6163b450c9194,B,Q4,false,22711
592ff28045e6163b450c9194,B,Q5,true,21999
592ff29845e6163b450c9195,B,Q2,true,32863
592ff29845e6163b450c9195,B,Q1,true,21055
592ff29845e6163b450c9195,B,Q3,true,24006
592ff29845e6163b450c9195,B,Q6,true,17226
592ff29845e6163b450c9195,B,Q5,true,19685
592ff29845e6163b450c9195,B,Q4,true,10675
59300c4f45e6163b450c9197,A,Q2,true,13852
59300c4f45e6163b450c9197,A,Q3,false,35399
59300c4f45e6163b450c9197,A,Q1,true,18855
59300c4f45e6163b450c9197,A,Q4,true,16224
59300c4f45e6163b450c9197,A,Q5,true,21742
59300c4f45e6163b450c9197,A,Q6,true,19725
59301d7c45e6163b450c9199,A,Q2,false,33077
59301d7c45e6163b450c9199,A,Q1,true,19881
59301d7c45e6163b450c9199,A,Q3,true,14778
59301d7c45e6163b450c9199,A,Q5,true,13365
59301d7c45e6163b450c9199,A,Q4,true,12311
59301d7c45e6163b450c9199,A,Q6,false,26221
59301f4045e6163b450c919a,A,Q3,false,77049
59301f4045e6163b450c919a,A,Q2,true,40380
59301f4045e6163b450c919a,A,Q1,true,40942
59301f4045e6163b450c919a,A,Q4,true,14393
59301f4045e6163b450c919a,A,Q5,true,62878
59301f4045e6163b450c919a,A,Q6,false,40966
59303f0645e6163b450c919b,B,Q1,false,18488
59303f0645e6163b450c919b,B,Q3,true,18665
59303f0645e6163b450c919b,B,Q2,true,33744
59303f0645e6163b450c919b,B,Q4,true,27033
59303f0645e6163b450c919b,B,Q6,true,28306
59303f0645e6163b450c919b,B,Q5,true,38593
59305ab345e6163b450c919e,B,Q1,false,29232
59305ab345e6163b450c919e,B,Q3,true,49894
59305ab345e6163b450c919e,B,Q2,true,13257
59305ab345e6163b450c919e,B,Q4,true,34393
59305ab345e6163b450c919e,B,Q6,true,16507
59305ab345e6163b450c919e,B,Q5,true,22008
5930c35445e6163b450c919f,A,Q2,false,19986
5930c35445e6163b450c919f,A,Q1,false,115747
5930c35445e6163b450c919f,A,Q3,false,15822
5930c35445e6163b450c919f,A,Q5,true,23282
5930c35445e6163b450c919f,A,Q4,true,18858
5930c35445e6163b450c919f,A,Q6,false,18572
5931e52245e6163b450c91a2,B,Q2,true,174020
5931e52245e6163b450c91a2,B,Q3,true,34301
5931e52245e6163b450c91a2,B,Q1,true,52376
5931e52245e6163b450c91a2,B,Q6,true,42225
5931e52245e6163b450c91a2,B,Q5,true,32545
5931e52245e6163b450c91a2,B,Q4,true,59006
59321b5945e6163b450c91a3,A,Q2,true,67831
59321b5945e6163b450c91a3,A,Q3,true,40447
59321b5945e6163b450c91a3,A,Q1,true,17552
59321b5945e6163b450c91a3,A,Q4,true,15103
59321b5945e6163b450c91a3,A,Q6,true,24677
59321b5945e6163b450c91a3,A,Q5,true,15159
5932d51945e6163b450c91a7,B,Q3,true,23288
5932d51945e6163b450c91a7,B,Q1,true,24913
5932d51945e6163b450c91a7,B,Q2,true,18069
